uuid,name,latitude,longitude,area,isOnline,imageUrl
9bd74b87-32d1-4767-8081-86a2e83f28f2,12 Ave @ 42 St,40.761978792937,-74.0010637153985,Manhattan,true,https://webcams.nyctmc.org/api/cameras/9bd74b87-32d1-4767-8081-86a2e83f28f2/image
0f5e11ff-0ecc-4622-a32e-bb80a6b2c1c6,Hylan Blvd @ Arden Ave,40.529434,-74.161351,Staten Island,true,https://webcams.nyctmc.org/api/cameras/0f5e11ff-0ecc-4622-a32e-bb80a6b2c1c6/image
0bbea8bd-10f1-4126-b3c5-9e9432eab749,Atlantic Ave @ Pennsylvania Ave,40.675787,-73.896898,Brooklyn,true,https://webcams.nyctmc.org/api/cameras/0bbea8bd-10f1-4126-b3c5-9e9432eab749/image
09afb231-ef10-470f-bf54-0f44fc2dc18f,Pelham Shore Rd @ City Island Rd,40.864552,-73.813781,Bronx,true,https://webcams.nyctmc.org/api/cameras/09afb231-ef10-470f-bf54-0f44fc2dc18f/image
300e0508-3c7e-4ac5-8527-b75bcf8292b8,Hillside Ave @ Little Neck Pkwy,40.736207,-73.713777,Queens,true,https://webcams.nyctmc.org/api/cameras/300e0508-3c7e-4ac5-8527-b75bcf8292b8/image
6726b334-f246-475b-9d1d-464dae09d403,BB-29 North East Manhattan Tower,40.70723,-73.998119,Manhattan,true,https://webcams.nyctmc.org/api/cameras/6726b334-f246-475b-9d1d-464dae09d403/image
2f28f8df-5eb5-4327-ab1f-7feaf2630b34,Grand Concourse @ Bedford Park Blvd,40.872207,-73.887658,Bronx,true,https://webcams.nyctmc.org/api/cameras/2f28f8df-5eb5-4327-ab1f-7feaf2630b34/image
0039e6bf-5244-4b4e-b7dc-d02056bbfdc9,Atlantic Ave @ 111 St,40.692157,-73.834927,Brooklyn,true,https://webcams.nyctmc.org/api/cameras/0039e6bf-5244-4b4e-b7dc-d02056bbfdc9/image
bfeb2434-fd55-4024-8172-f9602ea6ae06,Hutchhinson River Pkwy @ Waterbury Ave,40.83536,-73.83849,Queens,true,https://webcams.nyctmc.org/api/cameras/bfeb2434-fd55-4024-8172-f9602ea6ae06/image
ec44d35d-829f-4bcf-a38f-3bf45a6d31b4,West shore Expy @ Park & Ride,40.526252,-74.223358,Staten Island,true,https://webcams.nyctmc.org/api/cameras/ec44d35d-829f-4bcf-a38f-3bf45a6d31b4/image
3f32e246-a88d-4b87-995f-b9dad6a092b1,Prospect Expy @ 3rd Ave & 4th Ave,40.666,-73.994,Brooklyn,true,https://webcams.nyctmc.org/api/cameras/3f32e246-a88d-4b87-995f-b9dad6a092b1/image
